amt_price,heatedarea,hometype,fullbaths,halfbaths,District
630000,1487,Detached single-family,2,0,1
745000,1744,Detached single-family,2,0,1
270000,1159,Attached single-family,2,1,1
224000,1159,Attached single-family,1,1,1
325000,1350,Attached single-family,3,1,1
310000,1374,Attached single-family,2,1,1
510000,1282,Detached single-family,2,0,1
511500,1704,Detached single-family,2,0,1
445000,1532,Detached single-family,1,1,1
554000,1380,Detached single-family,1,1,1
582000,1524,Detached single-family,1,1,1
575000,1351,Detached single-family,1,1,1
1100000,3610,Detached single-family,3,0,1
425000,1682,Attached single-family,2,1,1
1400000,2702,Detached single-family,3,0,1
1285000,2538,Detached single-family,2,1,1
425000,1820,Detached single-family,2,0,1
590000,1242,Detached single-family,1,1,1
670000,1560,Detached single-family,2,0,1
875000,2816,Attached single-family,2,2,1
850000,2816,Attached single-family,3,1,1
694000,1386,Detached single-family,1,0,1
2225000,4597,Detached single-family,6,1,1
950000,2136,Detached single-family,3,0,1
845000,1674,Detached single-family,2,0,1
1025000,2989,Detached single-family,3,0,1
136500,1772,Detached single-family,2,0,1
1295000,3149,Detached single-family,3,1,1
850000,2028,Detached single-family,2,0,1
2495000,4354,Detached single-family,4,0,1
1625000,3978,Detached single-family,3,2,1
890000,1646,Detached single-family,2,0,1
625000,1460,Detached single-family,2,0,1
1100000,2012,Detached single-family,2,0,1
1510000,3446,Detached single-family,2,1,1
1310000,2855,Detached single-family,2,1,1
665000,1184,Detached single-family,1,0,1
1375000,2629,Detached single-family,3,1,1
1625000,2984,Detached single-family,3,1,1
1170000,1969,Detached single-family,2,0,1
485000,1344,Attached single-family,2,1,1
441000,1158,Attached single-family,2,1,1
535000,1536,Attached single-family,2,1,1
450000,1152,Attached single-family,2,1,1
445000,1152,Attached single-family,2,1,1
1450000,2595,Detached single-family,2,1,6
2450000,4893,Detached single-family,4,1,1
2000000,6345,Detached single-family,4,1,1
800000,1184,Detached single-family,1,0,1
700000,2056,Detached single-family,2,0,1
3325000,5251,Detached single-family,5,1,1
1275000,2067,Detached single-family,3,1,1
1800000,3588,Detached single-family,4,1,1
3200000,7288,Detached single-family,6,2,6
1749000,3997,Detached single-family,4,1,6
5650000,7041,Detached single-family,7,2,6
1880000,3685,Detached single-family,4,0,6
3599000,6822,Detached single-family,5,1,6
1400000,2447,Detached single-family,3,1,1
1210000,2484,Detached single-family,2,1,1
885000,2261,Detached single-family,2,0,1
852000,2268,Detached single-family,3,0,1
2299000,4461,Detached single-family,5,1,1
2100000,3906,Detached single-family,5,0,1
1700000,4167,Detached single-family,4,1,1
1650000,3796,Attached single-family,4,1,1
2400000,5589,Detached single-family,4,1,1
1711500,3198,Attached single-family,3,0,1
5998000,8185,Detached single-family,6,2,6
2155000,4139,Detached single-family,4,1,6
1150000,2364,Detached single-family,2,1,6
2150000,3920,Detached single-family,4,0,6
1725000,3840,Attached single-family,4,1,6
1700000,4406,Attached single-family,3,1,6
1025000,2801,Detached single-family,2,1,1
900000,2752,Detached single-family,3,1,1
